question,answer,document,rag_answer
"Does Bar Fortuna Sas offer delivery services? 
","The passage states that `has_delivery=False`. Therefore, Bar Fortuna Sas **does not** offer delivery services. 
","page_content='place_name=Bar Fortuna Sas\nreview=Excellent breakfast.....\nplace_address=Via Adriatica, 21, 35125 Padova PD, Italy\nplace_average_ratings=3.9\nplace_price_level=PRICE_LEVEL_INEXPENSIVE\nplace_primary_type=bar\nhas_delivery=False\nis_reservable=False' metadata={'place_phone_number': '+39 049 673 2077', 'place_website': nan, 'source': 'ChIJscwimbzbfkcRAcJSXrAFVns', 'places_opening_hours': ""['Monday: 6:30\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Tuesday: 3:00\\u202fPM\\u2009–\\u20092:00\\u202fAM', 'Wednesday: 6:30\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Thursday: 6:30\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Friday: 6:30\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Saturday: 6:30\\u202fAM\\u2009–\\u20092:00\\u202fAM', 'Sunday: 6:30\\u202fAM\\u2009–\\u20092:00\\u202fAM']"", 'filename': 'ChIJscwimbzbfkcRAcJSXrAFVns'}","No, Bar Fortuna Sas does not offer delivery services. 
"
"Is Crazy Pizza a good option for a budget-friendly meal? 
","Yes, based on the information provided, Crazy Pizza appears to be a good option for a budget-friendly meal. The `place_price_level` is listed as `PRICE_LEVEL_INEXPENSIVE`. 
","page_content='place_name=Crazy Pizza\nreview=Best pizza ever\nplace_address=Via Jacopo Filiasi, 2F, 35128 Padova PD, Italy\nplace_average_ratings=4.5\nplace_price_level=PRICE_LEVEL_INEXPENSIVE\nplace_primary_type=meal_takeaway\nhas_delivery=True\nis_reservable=True' metadata={'place_phone_number': '+39 049 751472', 'place_website': 'https://www.crazypizza.info/listino/', 'source': 'ChIJ46l-Px7bfkcR4E_2pyKzHvY', 'places_opening_hours': ""['Monday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Tuesday: Closed', 'Wednesday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Thursday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Friday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Saturday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Sunday: 6:30\\u2009–\\u200910:30\\u202fPM']"", 'filename': 'ChIJ46l-Px7bfkcR4E_2pyKzHvY'}","Yes, Crazy Pizza is a good option for a budget-friendly meal.  It's listed as ""PRICE_LEVEL_INEXPENSIVE"". 
"
"What are the standout dishes at Ristorante da Giovanni? 
","The standout dishes at Ristorante da Giovanni are:

* **Gnocchi:**  The review specifically calls them ""the absolute best in the world"" and recommends trying them plain to enjoy the variety of sauces.
* **Boiled and Roasted Meats:**  These are highlighted as a real highlight of the menu.
* **Baccalà:** The reviewer states it's their favorite and better than any they've tried before. 
","page_content=""place_name=Ristorante da Giovanni\nreview=Well if you're looking for a truly authentic, rustic Italian experience look no further. This is venetos history in a meal.\r\nThe absolute best gnocchi in the world, i do suggest to order them plain and try all of the sauces they are to die for. The boiled and roasted meats are the real highlight but don't think the menu is any less. The baccalà is my favorite, better than any I've tried personally.\r\nThis has been family owned for generations and it shows, things are still done like the good old days and the prices are fair. A must try when in padova!\nplace_address=Via Pietro Maroncelli, 22, 35129 Padova PD, Italy\nplace_average_ratings=4.4\nplace_price_level=PRICE_LEVEL_MODERATE\nplace_primary_type=restaurant\nhas_delivery=False\nis_reservable=True"" metadata={'place_phone_number': '+39 049 772620', 'place_website': 'http://www.ristorantedagiovannipd.it/', 'source': 'ChIJeaet1pLafkcRQK8Mo2uXVog', 'places_opening_hours': ""['Monday: 12:00\\u2009–\\u20094:00\\u202fPM, 7:30\\u202fPM\\u2009–\\u200912:00\\u202fAM', 'Tuesday: 12:00\\u2009–\\u20094:00\\u202fPM, 7:30\\u202fPM\\u2009–\\u200912:00\\u202fAM', 'Wednesday: 12:00\\u2009–\\u20094:00\\u202fPM, 7:30\\u202fPM\\u2009–\\u200912:00\\u202fAM', 'Thursday: 12:00\\u2009–\\u20094:00\\u202fPM, 7:30\\u202fPM\\u2009–\\u200912:00\\u202fAM', 'Friday: 12:00\\u2009–\\u20094:00\\u202fPM, 7:30\\u202fPM\\u2009–\\u200912:00\\u202fAM', 'Saturday: 7:30\\u202fPM\\u2009–\\u200912:00\\u202fAM', 'Sunday: Closed']"", 'filename': 'ChIJeaet1pLafkcRQK8Mo2uXVog'}","Ristorante da Giovanni is known for its authentic, rustic Italian experience. Standout dishes include:

* **Gnocchi:**  Many reviewers rave about the gnocchi, suggesting ordering them plain and trying different sauces.
* **Boiled and Roasted Meats:** These are highlighted as a must-try, with the baccalà (salt cod) being a particular favorite.
* **Fresh Homemade Pasta:**  The restaurant is known for its pasta dishes, with reviewers mentioning the generous use of sauce. 
"
"Is Anima Underground a good place to find drag performances? 
","Based on the provided information, **yes**, Anima Underground appears to be a good place to find drag performances. 

The review specifically mentions ""great queens come every week"". This strongly suggests that the venue hosts regular drag shows. 
","page_content='place_name=Anima Underground\nreview=Amazing place, the best queer club I’ve ever been to. Every single staff member is nice, great queens come every week, I couldn’t recommend it enough!❤️\nplace_address=Via della Croce Rossa, 46, 35129 Padova PD, Italy\nplace_average_ratings=4.2\nplace_price_level=PRICE_LEVEL_MODERATE\nplace_primary_type=bar\nhas_delivery=False\nis_reservable=True' metadata={'place_phone_number': '+39 338 744 3089', 'place_website': 'https://www.facebook.com/AnimaPadova/', 'source': 'ChIJCXOHn5jbfkcRvuv4_LKBOu4', 'places_opening_hours': ""['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\\u202fPM\\u2009–\\u20091:00\\u202fAM', 'Thursday: 6:00\\u202fPM\\u2009–\\u20091:00\\u202fAM', 'Friday: 6:00\\u202fPM\\u2009–\\u20094:00\\u202fAM', 'Saturday: 6:00\\u202fPM\\u2009–\\u20094:00\\u202fAM', 'Sunday: Closed']"", 'filename': 'ChIJCXOHn5jbfkcRvuv4_LKBOu4'}","Yes, Anima Underground is a good place to find drag performances. It hosts drag shows on Wednesdays, Fridays, and Saturdays. 
"
"What kind of food is served at Veni Vidi Vino Enoteca? 
","The passage mentions ""substantial and spectacular cicchetti freshly prepared"". Cicchetti are small, savory snacks common in Venetian cuisine, often served with wine. 

Therefore, Veni Vidi Vino Enoteca serves **small, savory snacks known as cicchetti**. 
","page_content=""place_name=Veni Vidi Vino Enoteca\nreview=A small but extraordinary wine shop: once you cross the threshold you enter a welcoming and characteristic place, with excellent wines and substantial and spectacular cicchetti freshly prepared. The external stalls are also very beautiful, certainly small but effective.\r\nAnd, above all, finally a place to drink good wine in Padua where the owner is not grumpy and does not seem to be doing him a favour, but rather talks and discusses wine passionately with the customer!\r\nI honestly don't understand the notes in the other reviews regarding prices: quality wines cost those figures, to me they seem absolutely honest (paying less than €4-5 for a glass of quality wine in a restaurant seems utopian to me!).\r\nWe will definitely be back, for an aperitif or after dinner.\nplace_address=Via Brentella, 3, 35030 Caselle PD, Italy\nplace_average_ratings=4.7\nplace_price_level=PRICE_LEVEL_MODERATE\nplace_primary_type=bar\nhas_delivery=nan\nis_reservable=True"" metadata={'place_phone_number': '+39 049 631780', 'place_website': 'http://www.venividivino.it/', 'source': 'ChIJGcR3apvZfkcRE1oR_fiAKSU', 'places_opening_hours': ""['Monday: Closed', 'Tuesday: 11:00\\u202fAM\\u2009–\\u20092:30\\u202fPM, 5:00\\u2009–\\u200911:00\\u202fPM', 'Wednesday: 11:00\\u202fAM\\u2009–\\u20092:30\\u202fPM, 5:00\\u2009–\\u200911:00\\u202fPM', 'Thursday: 11:00\\u202fAM\\u2009–\\u20092:30\\u202fPM, 5:30\\u2009–\\u200911:00\\u202fPM', 'Friday: 11:00\\u202fAM\\u2009–\\u20092:30\\u202fPM, 5:00\\u2009–\\u200911:00\\u202fPM', 'Saturday: 11:00\\u202fAM\\u2009–\\u20092:30\\u202fPM, 5:00\\u2009–\\u200911:00\\u202fPM', 'Sunday: Closed']"", 'filename': 'ChIJGcR3apvZfkcRE1oR_fiAKSU'}","Veni Vidi Vino Enoteca serves tasty food, including meatballs and a platter. The reviews mention that the food is ""very tasty"" and ""too much for us to eat"". 
"
"Does Crazy Pizza offer dine-in options? 
","The passage doesn't explicitly state whether Crazy Pizza offers dine-in options. However, it does mention that it's a ""meal_takeaway"" establishment. This suggests that it may primarily be focused on takeout and delivery. 

To be sure, you would need to check their website or contact them directly. 
","page_content=""place_name=Crazy Pizza\nreview=Amazing pizzeria! I used to go there often when living in that area and now I'm missing it a lot! Totally recommended.\nplace_address=Via Jacopo Filiasi, 2F, 35128 Padova PD, Italy\nplace_average_ratings=4.5\nplace_price_level=PRICE_LEVEL_INEXPENSIVE\nplace_primary_type=meal_takeaway\nhas_delivery=True\nis_reservable=True"" metadata={'place_phone_number': '+39 049 751472', 'place_website': 'https://www.crazypizza.info/listino/', 'source': 'ChIJ46l-Px7bfkcR4E_2pyKzHvY', 'places_opening_hours': ""['Monday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Tuesday: Closed', 'Wednesday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Thursday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Friday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Saturday: 6:30\\u2009–\\u200910:30\\u202fPM', 'Sunday: 6:30\\u2009–\\u200910:30\\u202fPM']"", 'filename': 'ChIJ46l-Px7bfkcR4E_2pyKzHvY'}","The provided information doesn't mention if Crazy Pizza offers dine-in options. However, it does say it's a ""meal_takeaway"" place with delivery options, suggesting that it might be primarily focused on takeout and delivery. 
"
"Does Osteria Di Fuori Porta offer delivery? 
","Based on the provided information, Osteria Di Fuori Porta **does not offer delivery**. This is indicated by the `has_delivery=False` field. 
","page_content='place_name=Osteria Di Fuori Porta\nreview=excellent food and service. The menu has a few good dishes, well chosen, high quality. The beer and wine list is superb, with ales from La Stecciaia and local wines. Next time I am in town I shall return.\nplace_address=Via T. Aspetti, 7/A, 35132 Padova PD, Italy\nplace_average_ratings=4.5\nplace_price_level=PRICE_LEVEL_MODERATE\nplace_primary_type=restaurant\nhas_delivery=False\nis_reservable=True' metadata={'place_phone_number': '+39 049 616899', 'place_website': 'http://www.osteriadifuoriporta.it/', 'source': 'ChIJGT3onmjafkcRVB-53dEILI4', 'places_opening_hours': ""['Monday: 12:30\\u2009–\\u20093:00\\u202fPM', 'Tuesday: 12:30\\u2009–\\u20093:00\\u202fPM, 6:30\\u2009–\\u200911:30\\u202fPM', 'Wednesday: 12:30\\u2009–\\u20093:00\\u202fPM, 6:30\\u2009–\\u200911:30\\u202fPM', 'Thursday: 12:30\\u2009–\\u20093:00\\u202fPM, 6:30\\u2009–\\u200911:30\\u202fPM', 'Friday: 12:30\\u2009–\\u20093:00\\u202fPM, 6:30\\u2009–\\u200911:30\\u202fPM', 'Saturday: 12:30\\u2009–\\u20093:00\\u202fPM, 6:30\\u2009–\\u200911:30\\u202fPM', 'Sunday: 12:30\\u2009–\\u20093:00\\u202fPM']"", 'filename': 'ChIJGT3onmjafkcRVB-53dEILI4'}","No, Osteria Di Fuori Porta does not offer delivery. 
"
"Is Bar La Mandria in Padova, Italy, reservable? 
","The passage does not provide an answer to whether Bar La Mandria is reservable. The field ""is_reservable"" is listed as ""nan"", which means ""not a number"" and indicates that the information is missing. 
","page_content='place_name=Bar La Mandria\nreview=Welly goolly!!\nplace_address=Corso Boston, 50, 35142 Padova PD, Italy\nplace_average_ratings=4.4\nplace_price_level=nan\nplace_primary_type=bar\nhas_delivery=False\nis_reservable=nan' metadata={'place_phone_number': nan, 'place_website': nan, 'source': 'ChIJjVotGO_bfkcRM9iBkAALyyU', 'places_opening_hours': ""['Monday: 6:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Tuesday: 6:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Wednesday: 6:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Thursday: 6:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Friday: 6:00\\u202fAM\\u2009–\\u20097:00\\u202fPM', 'Saturday: 6:00\\u202fAM\\u2009–\\u20092:00\\u202fPM', 'Sunday: Closed']"", 'filename': 'ChIJjVotGO_bfkcRM9iBkAALyyU'}","I don't know if Bar La Mandria is reservable. The information I have doesn't specify if reservations are possible. 
"
"Is Osteria Enoteca L'Indeciso a moderately priced restaurant in Padua, Italy? 
","Yes, Osteria Enoteca L'Indeciso is a moderately priced restaurant in Padua, Italy. 

The passage states that `place_price_level=PRICE_LEVEL_MODERATE`. 
","page_content=""place_name=Osteria Enoteca L'Indeciso\nreview=Name is fun, and service and food do not disappoint\nplace_address=Via Gattamelata, 21, 35128 Padova PD, Italy\nplace_average_ratings=4.5\nplace_price_level=PRICE_LEVEL_MODERATE\nplace_primary_type=restaurant\nhas_delivery=nan\nis_reservable=True"" metadata={'place_phone_number': '+39 345 343 6293', 'place_website': 'https://indecisopadova.it/', 'source': 'ChIJfxPgA-fafkcRaFk7SCN2LeQ', 'places_opening_hours': ""['Monday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Tuesday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Wednesday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Thursday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Friday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Saturday: 7:00\\u2009–\\u200911:30\\u202fPM', 'Sunday: Closed']"", 'filename': 'ChIJfxPgA-fafkcRaFk7SCN2LeQ'}","Yes, Osteria Enoteca L'Indeciso is a moderately priced restaurant in Padua, Italy. 
"
"Is San Sushi a popular choice for sushi in Padova? 
","The passage states ""Excellent sushi, one of the best in town."" This implies that San Sushi is a popular choice for sushi in Padova. 
","page_content='place_name=San Sushi\nreview=Excellent sushi, one of the best in town. Very efficient and polite service, as usual. Highly recommended\nplace_address=Via Chiesanuova, 217, 35316 Padova PD, Italy\nplace_average_ratings=4.2\nplace_price_level=PRICE_LEVEL_MODERATE\nplace_primary_type=japanese_restaurant\nhas_delivery=True\nis_reservable=True' metadata={'place_phone_number': '+39 338 185 3146', 'place_website': 'http://www.san-sushi.it/', 'source': 'ChIJJw-L55HZfkcRWjMRRzq2FDw', 'places_opening_hours': ""['Monday: Closed', 'Tuesday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Wednesday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Thursday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Friday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Saturday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM', 'Sunday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:30\\u202fPM']"", 'filename': 'ChIJJw-L55HZfkcRWjMRRzq2FDw'}","Yes, San Sushi is a popular choice for sushi in Padova.  It has a 4.2 average rating and many reviewers recommend it. 
"
